InvestigationID,FirstComplaintToInvOpening,InvOpeningToClosing,NoNHTSACampaignNumbers,InvClosingToRecall,RecallToOwnerNotification,RecallSize,RecallScope,NoManufacturers,NoPDUptoQuarterOfRcl,NoDIUptoQuarterOfRcl,NoIIUptoQuarterOfRcl,NoIDUptoQuarterOfRcl,MfrAwarenessToRecall
DP12004,839,1594,0,,,,,,,,,,
RQ19003,895,461,0,,,,,,,,,,
DP15001,205,1170,0,,,,,,,,,,
DP15006,188,193,0,,,,,,,,,,
EA17001,3896,1101,0,,,,,,,,,,
PE18014,562,649,0,,,,,,,,,,
AQ09002,,3221,0,,,,,,,,,,
PE16010,232,172,0,,,,,,,,,,
EA14004,2226,524,0,,,,,,,,,,
PE09019,,132,0,,,,,,,,,,
PE10048,9,1092,0,,,,,,,,,,
PE10022,,428,0,,,,,,,,,,
PE12012,3,130,0,,,,,,,,,,
PE09012,,111,0,,,,,,,,,,
RQ17002,4750,1435,0,,,,,,,,,,
PE14029,204,169,0,,,,,,,,,,
PE09044,,251,0,,,,,,,,,,
PE11025,1598,262,0,,,,,,,,,,
PE10038,,228,0,,,,,,,,,,
DP12006,-99,142,0,,,,,,,,,,
DP15005,,41,0,,,,,,,,,,
EQ09007,,98,0,,,,,,,,,,
PE10028,,147,0,,,,,,,,,,
PE10017,,194,0,,,,,,,,,,
EQ12004,,53,0,,,,,,,,,,
PE18005,649,200,0,,,,,,,,,,
EA09010,,519,0,,,,,,,,,,
PE16006,4577,189,0,,,,,,,,,,
PE19015,482,236,0,,,,,,,,,,
PE13032,,171,0,,,,,,,,,,
DP10001,,501,0,,,,,,,,,,
PE09022,63,66,0,,,,,,,,,,
DP17002,1379,187,0,,,,,,,,,,
PE10019,872,959,0,,,,,,,,,,
AQ15003,,371,0,,,,,,,,,,
DP19001,725,161,0,,,,,,,,,,
PE11028,,85,0,,,,,,,,,,
PE15027,,409,0,,,,,,,,,,
PE11017,,147,0,,,,,,,,,,
DP10002,,671,0,,,,,,,,,,
DP14003,2960,222,0,,,,,,,,,,
PE10010,,281,0,,,,,,,,,,
EQ15004,,35,0,,,,,,,,,,
PE15016,,179,0,,,,,,,,,,
PE18004,,944,0,,,,,,,,,,
PE17001,4326,251,0,,,,,,,,,,
PE13026,362,172,0,,,,,,,,,,
PE09033,,125,0,,,,,,,,,,
PE11021,92,186,0,,,,,,,,,,
PE12023,,160,0,,,,,,,,,,
PE13011,247,227,0,,,,,,,,,,
PE15017,14,152,0,,,,,,,,,,
PE14006,875,438,0,,,,,,,,,,
AQ18004,,588,0,,,,,,,,,,
RQ17005,572,333,0,,,,,,,,,,
PE15026,481,119,0,,,,,,,,,,
RQ18002,2597,412,0,,,,,,,,,,
EQ09006,,28,0,,,,,,,,,,
AQ12002,,735,0,,,,,,,,,,
RQ17009,821,172,0,,,,,,,,,,
DP20001,938,361,0,,,,,,,,,,
AQ14003,,574,0,,,,,,,,,,
PE11035,2746,129,0,,,,,,,,,,
PE20010,,153,0,,,,,,,,,,
PE09020,,120,0,,,,,,,,,,
PE15024,686,174,0,,,,,,,,,,
PE10006,,159,0,,,,,,,,,,
PE10032,,177,0,,,,,,,,,,
PE11007,,178,0,,,,,,,,,,
AQ17004,,1193,0,,,,,,,,,,
PE11039,225,128,0,,,,,,,,,,
PE13004,14,129,0,,,,,,,,,,
EQ12009,,119,0,,,,,,,,,,
AQ15004,,739,0,,,,,,,,,,
DP09005,,290,0,,,,,,,,,,
PE10040,,225,0,,,,,,,,,,
DP10004,194,391,0,,,,,,,,,,
PE14012,415,250,0,,,,,,,,,,
AQ14001,,751,0,,,,,,,,,,
RQ14004,372,302,0,,,,,,,,,,
DP09006,576,2181,0,,,,,,,,,,
DP11001,345,134,0,,,,,,,,,,
EA13003,1960,644,0,,,,,,,,,,
EQ11003,,68,0,,,,,,,,,,
EA11003,403,1509,0,,,,,,,,,,
DP18004,258,305,0,,,,,,,,,,
DP14001,,959,0,,,,,,,,,,
DP14002,2484,213,0,,,,,,,,,,
PE12003,1190,123,0,,,,,,,,,,
DP14004,,302,0,,,,,,,,,,
PE11033,1044,451,0,,,,,,,,,,
DP20004,1335,168,0,,,,,,,,,,
DP15003,2489,116,0,,,,,,,,,,
RQ10004,,294,0,,,,,,,,,,
PE12005,,229,0,,,,,,,,,,
PE14018,98,307,0,,,,,,,,,,
PE12036,5200,248,0,,,,,,,,,,
RQ15001,335,167,0,,,,,,,,,,
DP09004,45,460,0,,,,,,,,,,
PE10013,,125,0,,,,,,,,,,
PE12028,2331,157,0,,,,,,,,,,
PE10023,,527,0,,,,,,,,,,
PE19002,299,205,0,,,,,,,,,,
PE14004,2047,179,0,,,,,,,,,,
EQ12006,,33,0,,,,,,,,,,
AQ15002,,1751,0,,,,,,,,,,
PE12031,726,140,0,,,,,,,,,,
RQ11001,,242,0,,,,,,,,,,
DP19002,619,61,0,,,,,,,,,,
PE10024,,128,0,,,,,,,,,,
PE11020,,296,0,,,,,,,,,,
DP15004,458,635,0,,,,,,,,,,
PE11016,,113,0,,,,,,,,,,
PE10015,,121,0,,,,,,,,,,
PE10033,187,326,0,,,,,,,,,,
PE10044,,95,0,,,,,,,,,,
RQ10001,,105,0,,,,,,,,,,
PE16005,,376,0,,,,,,,,,,
RQ09004,,185,0,,,,,,,,,,
RQ09002,,275,0,,,,,,,,,,
PE15001,316,656,0,,,,,,,,,,
PE10008,,440,0,,,,,,,,,,
PE09010,,125,0,,,,,,,,,,
PE12001,524,420,0,,,,,,,,,,
PE10049,,437,0,,,,,,,,,,
EQ10008,,38,0,,,,,,,,,,
PE10031,5158,661,0,,,,,,,,,,
PE13018,,320,0,,,,,,,,,,
PE12029,,260,0,,,,,,,,,,
PE13027,73,148,0,,,,,,,,,,
EA10004,,421,0,,,,,,,,,,
PE19011,,595,0,,,,,,,,,,
RQ13001,2783,122,0,,,,,,,,,,
PE10030,,124,0,,,,,,,,,,
DP12005,4037,0,0,,,,,,,,,,
PE19001,1535,314,0,,,,,,,,,,
EA11002,3030,387,0,,,,,,,,,,
PE17002,2452,366,0,,,,,,,,,,
PE09025,,142,0,,,,,,,,,,
PE13034,519,139,0,,,,,,,,,,
DP09002,,120,0,,,,,,,,,,
PE15006,,315,0,,,,,,,,,,
PE12020,59,141,0,,,,,,,,,,
PE15002,,129,0,,,,,,,,,,
EA15005,166,1131,0,,,,,,,,,,
RQ17008,,316,0,,,,,,,,,,
DP18001,3247,652,0,,,,,,,,,,
PE15031,1470,163,0,,,,,,,,,,
EA14002,1384,2440,0,,,,,,,,,,
EA10003,1849,692,0,,,,,,,,,,
PE09031,,129,0,,,,,,,,,,
PE15025,1974,171,0,,,,,,,,,,
RQ17001,138,266,0,,,,,,,,,,
PE09055,,135,0,,,,,,,,,,
EA15006,771,195,0,,,,,,,,,,
PE16008,1509,438,0,,,,,,,,,,
DP20005,791,165,0,,,,,,,,,,
PE12002,672,129,0,,,,,,,,,,
EQ09008,,75,0,,,,,,,,,,
EA09009,,421,0,,,,,,,,,,
PE14005,475,136,0,,,,,,,,,,
DP13001,612,2603,0,,,,,,,,,,
DP15007,,129,0,,,,,,,,,,
PE09028,,159,0,,,,,,,,,,
PE12030,,223,0,,,,,,,,,,
PE14026,15,139,0,,,,,,,,,,
PE14011,229,220,0,,,,,,,,,,
PE11014,,151,0,,,,,,,,,,
PE11024,,133,0,,,,,,,,,,
PE13016,1411,277,0,,,,,,,,,,
PE10027,,196,0,,,,,,,,,,
DP13002,100,494,0,,,,,,,,,,
AQ12001,,364,0,,,,,,,,,,
AQ17002,,1155,0,,,,,,,,,,
PE15035,,107,0,,,,,,,,,,
PE10034,,166,0,,,,,,,,,,
PE11018,1483,638,0,,,,,,,,,,
PE11029,4,168,0,,,,,,,,,,
DP15002,3348,132,0,,,,,,,,,,
PE10025,,125,0,,,,,,,,,,
DP12002,1214,129,0,,,,,,,,,,
PE09045,,330,0,,,,,,,,,,
DP20003,21,346,0,,,,,,,,,,
PE11026,-8,244,0,,,,,,,,,,
EA11010,2058,450,0,,,,,,,,,,
PE18013,125,263,0,,,,,,,,,,
PE12025,771,224,0,,,,,,,,,,
EA09008,2118,455,0,,,,,,,,,,
AQ12003,,778,0,,,,,,,,,,
PE12007,44,183,0,,,,,,,,,,
PE14032,1073,140,0,,,,,,,,,,
PE13003,1116,372,0,,,,,,,,,,
PE13035,1181,212,0,,,,,,,,,,
EA09012,,355,0,,,,,,,,,,
PE15032,,150,0,,,,,,,,,,
PE16012,1408,173,0,,,,,,,,,,
PE14002,59,327,0,,,,,,,,,,
PE19006,964,624,0,,,,,,,,,,
PE14023,2007,132,0,,,,,,,,,,
PE14021,1583,137,0,,,,,,,,,,
PE15020,172,229,0,,,,,,,,,,
PE16007,,205,0,,,,,,,,,,
PE17008,,274,0,,,,,,,,,,
EA09013,1067,1274,0,,,,,,,,,,
PE10036,,258,0,,,,,,,,,,
AQ14002,,304,0,,,,,,,,,,
EQ10002,,155,0,,,,,,,,,,
PE14034,1539,115,0,,,,,,,,,,
DP19003,,301,0,,,,,,,,,,
PE11037,,56,0,,,,,,,,,,
PE09034,,136,0,,,,,,,,,,
EQ15002,,35,0,,,,,,,,,,
AQ15001,,887,0,,,,,,,,,,
PE17004,,448,0,,,,,,,,,,
PE16011,2158,453,0,,,,,,,,,,
PE12033,3567,245,0,,,,,,,,,,
PE15014,652,207,0,,,,,,,,,,
PE13037,,131,0,,,,,,,,,,
PE12016,257,119,0,,,,,,,,,,
PE14014,,358,0,,,,,,,,,,
EQ14011,,235,0,,,,,,,,,,
DP17001,,634,0,,,,,,,,,,
DP10005,143,6,0,,,,,,,,,,
PE14020,,578,0,,,,,,,,,,
PE10020,,365,0,,,,,,,,,,
DP09001,27,204,0,,,,,,,,,,
RQ13003,,382,0,,,,,,,,,,
PE14008,63,201,0,,,,,,,,,,
PE14027,14,165,0,,,,,,,,,,
PE13013,729,112,0,,,,,,,,,,
PE13014,1328,269,0,,,,,,,,,,
DP16002,2532,286,0,,,,,,,,,,
EA11001,2500,1554,0,,,,,,,,,,
EA09004,,510,0,,,,,,,,,,
EQ11001,,162,0,,,,,,,,,,
EQ15003,,100,0,,,,,,,,,,
PE14001,1543,211,0,,,,,,,,,,
PE09013,,129,0,,,,,,,,,,
PE10014,,136,0,,,,,,,,,,
EQ12002,,84,0,,,,,,,,,,
PE10004,,105,0,,,,,,,,,,
PE15030,716,169,0,,,,,,,,,,
PE09017,,114,0,,,,,,,,,,
EQ12010,,94,0,,,,,,,,,,
PE15034,51,138,0,,,,,,,,,,
PE16015,1359,1334,0,,,,,,,,,,
DP12003,1518,780,0,,,,,,,,,,
DP10003,,7,0,,,,,,,,,,
EQ13002,,21,0,,,,,,,,,,
PE09015,,134,0,,,,,,,,,,
PE14033,515,336,0,,,,,,,,,,
PE13010,123,229,0,,,,,,,,,,
EQ15005,,159,0,,,,,,,,,,
EQ17001,,217,0,,,,,,,,,,
AQ17001,,527,0,,,,,,,,,,
AQ14004,,539,0,,,,,,,,,,
PE12022,13,126,0,,,,,,,,,,
RQ12001,,130,0,,,,,,,,,,
EA11011,,747,0,,,,,,,,,,
AQ10001,,1866,0,,,,,,,,,,
PE13012,,220,0,,,,,,,,,,
PE16017,1708,500,0,,,,,,,,,,
PE11013,,150,0,,,,,,,,,,
PE12035,684,151,0,,,,,,,,,,
PE13009,668,318,0,,,,,,,,,,
PE09026,,123,0,,,,,,,,,,
PE15021,665,485,0,,,,,,,,,,
PE09043,,126,0,,,,,,,,,,
AQ09001,,102,10,-1350,,800,1,1,0,0,0,0,
AQ09001,,102,10,-1194,-7,1242,9,1,0,0,0,0,
AQ09001,,102,10,-1075,,100,8,1,0,0,0,0,
AQ09001,,102,10,-1022,,108,1,1,0,0,0,0,
AQ09001,,102,10,-928,11,200,8,1,0,0,0,0,
AQ09001,,102,10,-850,753,101,12,1,0,0,0,0,
AQ09001,,102,10,-686,17,48,4,1,0,0,0,0,
AQ09001,,102,10,-668,595,93,2,1,0,0,0,0,
AQ09001,,102,10,-640,,313,8,1,0,0,0,0,
AQ09001,,102,10,-362,-69,5,3,1,0,0,0,0,
PE09041,,129,1,-21,20,447000,36,1,0,0,0,0,
EQ09003,,447,14,-420,4,4520,1,1,0,0,0,0,
EQ09003,,447,14,-405,83,2798,1,1,0,0,0,0,
EQ09003,,447,14,-391,-47,138,9,1,0,0,0,0,
PE09005,64,147,1,-3,118,44,20,2,10234,27,280,97542,
PE09001,,58,1,-15,44,4591,2,1,0,0,0,0,
PE09007,,56,1,-31,29,3419,2,1,0,0,0,0,
PE09004,,85,3,-8,63,633,8,1,0,0,0,0,
PE09003,,100,1,-9,75,532633,14,1,77,5,115,3644,
PE09011,,62,1,-5,92,160904,4,1,335,11,469,51869,
PE09014,,57,1,-8,-6,5000,2,1,0,0,0,0,
PE09006,,85,1,-8,-6,180,1,1,0,0,0,0,
PE09018,,37,1,-17,9,579,6,1,0,0,1,1,
EQ09001,,85,1,0,-15,4,1,1,0,0,0,0,
EQ09003,,447,14,-419,13,17,6,1,0,0,0,0,
EQ09003,,447,14,-419,41,302,7,1,0,0,0,0,
EQ09002,,317,6,-252,18,2957,8,1,0,0,0,0,
EQ09002,,317,6,-252,18,8571,7,1,0,0,0,0,
EQ09002,,317,6,-252,18,3910,25,1,0,0,0,0,
EQ09003,,447,14,-396,36,484,36,1,0,0,0,0,
EQ09003,,447,14,-392,42,338,2,1,0,0,0,0,
EQ09003,,447,14,-391,6,43,1,1,0,0,0,0,
EQ09005,,207,4,-189,10,10,2,1,0,0,0,0,
EQ09002,,317,6,-239,5,3800,3,1,0,0,0,0,
EQ09002,,317,6,-239,5,17091,16,1,0,0,0,0,
EQ09003,,447,14,-383,16,89,4,1,0,0,0,0,
EQ09003,,447,14,-381,61,1460,16,2,0,0,0,0,
EQ09002,,317,6,-233,-1,20798,15,1,0,0,0,0,
EQ09005,,207,4,-173,8,10,2,1,0,0,0,0,
PE09016,,114,1,-7,54,44451,1,1,1261,1,18,6651,107
EQ09003,,447,14,-361,21,572,2,1,0,0,0,0,
EQ09005,,207,4,-157,11,5,4,1,0,0,0,0,
EQ09003,,447,14,-356,38,32,1,1,0,0,0,0,
EQ09003,,447,14,-354,6,19,2,1,0,0,0,0,
PE09004,,85,3,85,-30,4,2,1,0,0,0,0,
PE09004,,85,3,85,0,10,1,1,0,0,0,0,
EA09007,,60,1,-3,98,15761,2,1,4,0,1,19,235
EQ09005,,207,4,-145,14,26,1,1,0,0,0,0,
PE09029,,84,1,-36,19,7772,3,1,0,0,0,0,
PE09023,,91,1,-13,105,35,2,1,0,0,0,0,
RQ09001,,155,1,-1,369,185903,18,2,18976,20,170,78538,268
PE09035,,125,1,-91,61,16000,8,1,0,0,1,3,10
EQ09003,,447,14,-312,64,29,3,1,0,0,0,0,
PE09027,,126,1,-22,233,15123,3,1,0,0,0,0,
PE09038,,69,1,-64,2,352,4,1,78,2,30,11,
PE09040,,80,1,-64,142,8882,15,1,109,2,3,28,
PE09037,,97,1,-12,109,88461,2,1,0,0,0,0,386
PE09049,,112,1,-69,166,110000,4,1,4549,8,91,7857,352
PE09042,,98,1,-20,2,1007,14,1,2,0,1,1,
PE09050,,92,1,-37,79,3739,8,1,0,0,0,0,
PE09047,,96,1,-34,106,5082,6,2,0,0,0,0,
EA09011,,165,1,-10,27,5724,4,1,108,6,46,1000,1982
PE09052,,59,1,-25,74,2019,4,1,0,0,0,0,148
PE09039,,113,1,-4,28,158733,20,1,293,2,56,327,
PE09051,,60,1,-5,135,4498,6,1,0,0,0,0,16
PE10018,,43,6,-16,78,5920,1,1,0,0,0,0,
EQ10006,,279,24,-276,180,24447,1,1,0,0,0,0,
EQ10004,,153,1,-49,-89,1898,1,1,0,0,0,0,
PE09008,,124,1,202,70,76000,2,1,44,0,12,1031,320
RQ09003,,232,1,-42,102,308950,6,1,6418,28,352,119940,176
PE09053,,86,2,-21,121,9,2,1,0,0,0,0,
PE09053,,86,2,-21,122,3057,2,1,73,0,3,19,
PE09048,,148,1,-7,86,14126,1,1,2138,1,14,7135,141
PE09056,,72,1,-15,130,108147,7,1,32,3,14,196,498
PE10002,,65,1,-23,6,35,7,1,0,0,0,0,
PE10005,,173,1,-138,26,1050889,10,1,19754,44,625,275307,400
PE10001,,85,1,-31,22,4457,24,1,0,0,1,1,
EA09014,,204,1,-56,48,412000,4,1,43,1,7,549,294
PE09024,,159,1,148,48,412000,4,1,43,1,7,549,294
PE10003,,75,1,-20,62,9588,4,1,0,0,0,0,
EQ10003,,160,4,-152,-66,4,2,1,0,0,0,0,
EA09002,,482,1,-15,4,40028,2,1,8160,0,27,12508,1684
EA09006,,399,1,-12,42,50000,1,1,1178,0,18,3947,500
PE10007,,109,6,-23,392,6548,7,1,0,0,0,0,
PE10007,,109,6,-23,392,8971,27,1,265,2,10,102,
RQ10002,,103,1,-7,21,1895,6,1,0,0,1,1,
PE10011,,35,2,-23,64,1515,2,1,0,0,0,0,
PE10011,,35,2,-23,64,118,2,1,0,0,0,0,
EQ10003,,160,4,-128,0,1,1,1,0,0,0,0,
EQ10005,,155,3,-138,5,18,1,1,0,0,0,0,
PE10012,,119,1,-84,18,24825,2,1,1697,4,110,35216,35
EQ10001,,287,4,-147,-4,2,2,1,3998,29,264,83075,
EQ10001,,287,4,-144,-9,4,4,3,3748,6,110,31354,
EQ10001,,287,4,-146,7,13,11,4,2488,16,205,69798,
EA09003,,537,1,-12,70,63788,12,1,0,0,0,0,
PE10018,,43,6,-11,73,3686,6,1,0,0,0,0,
PE10018,,43,6,-11,73,103,9,1,0,0,0,0,
EQ10003,,160,4,-71,-138,12,2,1,0,0,0,0,
EQ10003,,160,4,-71,1,2,1,1,0,0,0,0,
PE10018,,43,6,-7,69,1,1,1,0,0,0,0,
PE10018,,43,6,-3,65,39,1,1,0,0,0,0,
EQ10001,,287,4,-104,1,2,2,1,3700,20,139,38089,
EA09001,,647,1,-70,63,551498,4,1,180,7,296,27897,674
PE10021,,154,1,-109,34,215000,6,1,66,3,18,87,880
EA10006,,29,2,-21,95,1128659,8,1,5771,20,254,100522,269
PE09054,,262,2,7,95,1128659,8,1,5771,20,254,100522,269
PE10016,,132,1,-27,55,492650,6,1,14565,31,364,122358,105
EQ10005,,155,3,-47,15,64,3,1,0,1,1,9,
EA10006,,29,2,-21,166,161754,4,1,2378,1,16,7524,269
PE09054,,262,2,7,166,161754,4,1,2378,1,16,7524,269
PE10018,,43,6,62,-1,3469,4,1,64,0,2,16,59
EQ10006,,279,24,-196,154,1364,32,1,0,0,0,0,
EQ10006,,279,24,-193,134,16,4,1,0,0,0,0,
EQ10005,,155,3,-28,31,54,3,1,0,0,0,0,
EQ10006,,279,24,-195,20,136,5,1,0,0,0,0,
EQ10006,,279,24,-188,129,562,32,2,2,0,0,0,
EQ10006,,279,24,-195,111,30,1,1,0,0,0,0,
EQ10007,,718,100,-692,24,1109,3,1,0,0,0,0,
EQ10006,,279,24,-187,42,4,1,1,0,0,0,0,
EQ10006,,279,24,-188,129,207,2,1,0,0,0,0,
PE10035,,164,2,-140,25,138354,1,1,9,0,0,0,
EQ10007,,718,100,-683,15,21,3,1,0,0,0,0,
EQ10006,,279,24,-188,129,1494,7,1,0,0,0,0,
EQ10007,,718,100,-683,15,420,3,1,0,0,0,0,
EQ10007,,718,100,-683,15,14,3,1,0,0,0,0,
EQ10007,,718,100,-683,15,649,3,1,0,0,0,0,
EQ10007,,718,100,-683,15,575,3,1,0,0,0,0,
EQ10006,,279,24,-187,196,435,20,1,0,0,0,0,
EQ10007,,718,100,-683,15,321,3,1,0,0,0,0,
PE09030,,175,1,288,79,149992,11,2,102,24,124,3810,463
EA09018,,312,1,-23,79,149992,11,2,102,24,124,3810,463
EQ10006,,279,24,-188,129,960,63,1,0,0,0,0,
EQ10007,,718,100,-678,10,351,3,1,0,0,0,0,
EQ10007,,718,100,-679,11,321,3,1,0,0,0,0,
EQ10006,,279,24,-186,193,2,1,1,0,0,0,0,
EQ10006,,279,24,-178,119,2207,29,1,0,0,0,0,
EQ10006,,279,24,-182,18,7,4,1,0,0,0,0,
EQ10006,,279,24,-180,138,290,6,1,0,0,0,0,
PE10035,,164,2,-129,10,60,1,1,19,0,2,42,
EQ10007,,718,100,-668,0,1026,3,1,0,0,0,0,
EQ10007,,718,100,-668,0,1356,3,1,0,0,0,0,
EQ10007,,718,100,-663,-5,176,3,1,0,0,0,0,
EQ10007,,718,100,-663,-5,354,3,1,0,0,0,0,
EQ10007,,718,100,-663,-5,79,3,1,0,0,0,0,
EQ10007,,718,100,-663,-5,390,3,1,0,0,0,0,
EQ10007,,718,100,-662,-6,4200,3,1,0,0,0,0,
EQ10007,,718,100,-662,-6,1200,3,1,0,0,0,0,
EQ10006,,279,24,-165,106,394,20,2,1,0,0,0,
EQ10007,,718,100,-658,-10,781,3,1,0,0,0,0,
EQ10007,,718,100,-658,-10,158,3,1,0,0,0,0,
EQ10006,,279,24,-164,105,1399,29,1,0,0,1,1,
EQ10007,,718,100,-658,-10,300,3,1,0,0,0,0,
EQ10006,,279,24,-154,239,608,12,1,0,0,0,0,
EQ10006,,279,24,-152,93,5633,12,1,5,0,1,1,
EQ10007,,718,100,-647,-21,573,3,1,0,0,0,0,
EQ10007,,718,100,-647,-21,32,3,1,0,0,0,0,
EQ10007,,718,100,-647,-21,2135,3,1,0,0,0,0,
EQ10007,,718,100,-644,-24,2996,3,1,0,0,0,0,
EQ10007,,718,100,-644,-24,2887,3,1,0,0,0,0,
PE10041,,20,1,-7,396,217,6,1,0,0,1,1,
EQ10007,,718,100,-640,-28,1190,3,1,0,0,0,0,
EQ10007,,718,100,-640,-28,1623,3,1,0,0,0,0,
EQ10007,,718,100,-640,-28,3209,3,1,0,0,0,0,
EQ10007,,718,100,-636,-32,1709,3,1,0,0,0,0,
EQ10006,,279,24,-140,85,12,6,1,0,0,0,0,
EQ10006,,279,24,-136,97,552,12,2,0,0,0,0,
PE10039,,77,1,-24,102,2201,14,1,0,0,0,0,
EQ10007,,718,100,-612,-56,221,3,1,0,0,0,0,
EQ10007,,718,100,-605,-63,577,3,1,0,0,0,0,
EQ10006,,279,24,-109,99,57,30,1,0,0,0,0,
PE10037,,95,1,-5,40,143083,2,1,18,1,5,342,79
PE10029,,143,1,-10,81,12873,26,1,67,4,3,25,
EQ10009,,97,5,-83,21,30,6,1,0,0,0,0,
EQ10009,,97,5,-89,0,52,6,1,0,0,0,0,
EQ10009,,97,5,-77,15,26,4,1,0,0,0,0,
EQ10009,,97,5,-76,1,22,2,1,0,0,0,0,
EQ10006,,279,24,-98,57,271,14,1,0,0,0,0,
PE10009,,119,1,223,12,794247,55,1,0,0,0,0,
EA10005,247,724,1,-501,12,794247,55,1,0,0,0,0,
EQ11002,,463,11,-486,6,44915,1,1,0,0,0,0,
PE11008,-304,307,1,-59,52,3873,1,1,0,0,0,0,
PE10043,,64,1,-2,7,1196,1,1,0,0,0,0,
EQ10007,,718,100,-565,-103,156,3,1,0,0,0,0,
PE10045,,116,1,-35,11,3911,8,1,0,1,0,3,
EQ10007,,718,100,-564,-104,1000,3,1,0,0,0,0,
EQ10010,,391,23,-350,38,1798,23,2,0,0,0,0,
EQ10007,,718,100,-559,-839,370,3,1,0,0,0,0,
EQ10007,,718,100,-559,-109,2257,3,1,0,0,0,0,
PE10026,,153,1,37,26,425288,5,1,13393,24,334,110297,190
EA10007,,87,1,-50,26,425288,5,1,13393,24,334,110297,190
EQ10007,,718,100,-556,-112,3,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,548,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,31,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,5,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,210,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,1042,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,8,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,524,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,224,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,947,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,424,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,262,3,1,0,0,0,0,
EQ10007,,718,100,-553,-115,31,3,1,0,0,0,0,
EQ10010,,391,23,-353,115,2,1,1,0,0,0,0,
EQ10010,,391,23,-354,16,9,8,1,0,0,0,0,
EQ10007,,718,100,-553,-115,2900,3,1,0,0,0,0,
EQ10007,,718,100,-550,-118,93,3,1,0,0,0,0,
EQ10007,,718,100,-550,-118,350,3,1,0,0,0,0,
EQ10007,,718,100,-550,-118,718,3,1,0,0,0,0,
EQ10010,,391,23,-339,17,888,28,3,0,0,0,0,
EQ10006,,279,24,-56,21,740,12,1,0,0,0,0,
EQ10010,,391,23,-339,-21,14,2,1,0,0,0,0,
EQ10007,,718,100,-549,-119,140,3,1,0,0,0,0,
EQ10007,,718,100,-549,-119,173,3,1,0,0,0,0,
EQ10007,,718,100,-549,-119,1304,3,1,0,0,0,0,
EQ10010,,391,23,-335,-48,158,12,1,0,0,0,0,
EQ10010,,391,23,-346,129,88,6,1,0,0,0,0,
EQ10010,,391,23,-353,-38,1,1,1,0,0,0,0,
EQ10007,,718,100,-545,-123,390,3,1,0,0,0,0,
EQ10007,,718,100,-545,-123,397,3,1,0,0,0,0,
EQ10010,,391,23,-348,20,1,1,1,0,0,0,0,
EQ10010,,391,23,-348,-41,2,2,1,0,0,0,0,
EQ10007,,718,100,-544,-124,637,3,1,0,0,0,0,
EQ10010,,391,23,-341,-19,761,44,1,0,0,0,0,
EQ10010,,391,23,-340,12,25,7,1,0,0,0,0,
EQ10009,,97,5,-31,11,175,18,1,0,0,0,0,
EQ10007,,718,100,-538,-130,46,3,1,0,0,0,0,
EQ10010,,391,23,-356,111,5,4,1,0,0,0,0,
EA10001,,467,1,-61,28,1325000,4,1,12378,57,500,126963,2
PE09046,,117,1,400,28,1325000,4,1,12378,57,500,126963,2
EQ10007,,718,100,-530,-138,270,3,1,0,0,0,0,
RQ10003,,378,3,-5,71,769379,18,1,5283,10,87,26011,207
RQ10003,,378,3,-5,48,1363244,16,1,15611,11,241,107010,
EQ10007,,718,100,-530,-138,284,3,1,0,0,0,0,
RQ10003,,378,3,-5,14,19647,4,1,0,0,0,0,1790
EQ10007,,718,100,-530,-138,2,3,1,0,0,0,0,
EQ10007,,718,100,-530,-138,650,3,1,0,0,0,0,
EQ10007,,718,100,-529,-139,1027,3,1,0,0,0,0,
EQ10007,,718,100,-529,-139,102,3,1,0,0,0,0,
EQ10007,,718,100,-529,-139,62,3,1,0,0,0,0,
EQ10007,,718,100,-529,-139,267,3,1,0,0,0,0,
EQ10007,,718,100,-528,-140,267,3,1,0,0,0,0,
EQ10007,,718,100,-524,-144,34,3,1,0,0,0,0,
EQ10007,,718,100,-524,-144,75,3,1,0,0,0,0,
PE11002,,65,1,-20,249,2013,3,1,52,1,4,44,
EQ10010,,391,23,-314,-7,2,2,1,0,0,0,0,
EQ10010,,391,23,-314,3,1,1,1,0,0,0,0,
EQ10010,,391,23,-314,13,38,7,1,0,0,0,0,
PE10046,,134,1,-27,14,70115,3,1,94,1,39,822,1455
EQ10007,,718,100,-517,-151,1077,3,1,0,0,0,0,
EQ10007,,718,100,-517,-151,67,3,1,0,0,0,0,
EQ10007,,718,100,-518,-150,2115,3,1,0,0,0,0,
EQ10007,,718,100,-514,-154,150,3,1,0,0,0,0,
EQ10007,,718,100,-515,-153,49,3,1,0,0,0,0,
EQ10007,,718,100,-515,-153,84,3,1,0,0,0,0,
